Cohort,Percent
Transitional,0
Transitional,0
Transitional,0
Transitional,0
Transitional,0
Stable,8.33
Stable,8.33
Stable,0
Stable,8.33
Stable,8.33
Stable,0
Stable,0
Stable,0
Stable,8.33
Stable,0
Stable,8.33
Stable,8.33
Stable,0
Stable,0
Stable,8.33
Stable,8.33
Stable,0
Stable,0
Stable,8.33
Stable,8.33
Stable,18.18
Stable,100
Stable,8.33
Stable,0
Stable,0
Stable,8.33
Stable,25
Stable,100
Stable,25
Stable,8.33
Stable,8.33
Stable,8.33
Stable,0
Stable,0
Stable,100
Stable,8.33
Stable,100
Stable,25
Stable,25
Stable,41.67
Stable,8.33
Stable,100
Stable,0
Stable,0
Stable,100
Stable,8.33
Stable,0
Stable,0
Stable,25
Stable,8.33
Stable,0
Stable,0
Stable,8.33
Stable,100
Stable,100
Stable,25
Stable,41.67
Stable,100
Stable,100
