Cohort,Percent
Transitional,9.09
Transitional,18.18
Transitional,8.33
Transitional,0
Transitional,18.18
Transitional,18.18
Transitional,18.18
Transitional,8.33
Transitional,0
Transitional,18.18
Transitional,0
Transitional,8.33
Transitional,0
Transitional,100
Transitional,0
Transitional,0
Transitional,25
Transitional,0
Transitional,41.67
Transitional,8.33
Transitional,18.18
Transitional,18.18
Transitional,18.18
Transitional,18.18
Transitional,8.33
Transitional,8.33
Transitional,18.18
Transitional,18.18
Transitional,0
Transitional,41.67
Transitional,8.33
Transitional,18.18
Transitional,25
Transitional,18.18
Transitional,0
Transitional,18.18
Transitional,18.18
Transitional,18.18
Transitional,18.18
Transitional,76.92
Transitional,100
Transitional,84.62
Transitional,25
Transitional,8.33
Transitional,8.33
Transitional,18.18
Transitional,18.18
Transitional,0
Transitional,100
Transitional,0
Transitional,8.33
Stable,41.67
Stable,53.85
Stable,18.18
Stable,18.18
Stable,18.18
Stable,100
Stable,25
Stable,41.67
Stable,0
Stable,76.92
Stable,18.18
Stable,18.18
Stable,0
Stable,0
Stable,100
Stable,100
Stable,100
Stable,25
Stable,100
Stable,16.67
Stable,100
Stable,100
Stable,76.92
Stable,8.33
Stable,18.18
Stable,41.67
Stable,100
Stable,100
Stable,100
Stable,18.18
Stable,18.18
Stable,100
Stable,0
Stable,91
Stable,25
Stable,100
Stable,76.92
Stable,18.18
Stable,100
Stable,18.18
Stable,25
Stable,100
Stable,0
Stable,18.18
Stable,18.18
Stable,76.92
Stable,18.18
Stable,100
Stable,100
Stable,18.18
Stable,100
Stable,100
Stable,18.18
Stable,18.18
Stable,0
Stable,18.18
Stable,100
Stable,100
Stable,41.67
Stable,25
Stable,100
Stable,100
Stable,18.18
Stable,18.18
Stable,0
Stable,0
Stable,0
Stable,18.18
Stable,18.18
Stable,100
Stable,100
Stable,0
Stable,0
Stable,100
Stable,18.18
Stable,18.18
Stable,38.46
Stable,100
Stable,100
Stable,18.18
Stable,18.18
Stable,0
Stable,18.18
Stable,18.18
Stable,0
